,Model,Year,Price,Transmission,Mileage,Fuel_type,Tax,Fuel_cons_mpg,Engine_size,Automatic,Manual,Semi-Auto
189, 8 Series,2019,61898,Semi-Auto,2650,1,145,39.8,3.0,0,0,1
190, 1 Series,2014,13298,Manual,55834,2,300,35.3,3.0,0,1,0
191, 3 Series,2019,21898,Semi-Auto,5761,1,150,55.4,2.0,0,0,1
192, 1 Series,2017,11498,Semi-Auto,47110,1,0,78.5,1.5,0,0,1
193, X3,2014,17495,Semi-Auto,54075,1,145,54.3,2.0,0,0,1
194, 5 Series,2015,14998,Semi-Auto,45152,1,30,62.8,2.0,0,0,1
195, 2 Series,2014,10498,Manual,52091,1,125,58.9,2.0,0,1,0
196, 1 Series,2019,19998,Semi-Auto,4812,2,145,47.9,2.0,0,0,1
197, X1,2016,16698,Semi-Auto,37272,2,160,44.8,2.0,0,0,1
198, 3 Series,2019,27998,Semi-Auto,4250,1,145,48.7,2.0,0,0,1
199, 5 Series,2018,27798,Semi-Auto,15711,1,145,60.1,3.0,0,0,1
200, 1 Series,2016,18298,Manual,21236,2,260,36.2,3.0,0,1,0
201, 1 Series,2017,14698,Semi-Auto,24008,2,145,55.5,1.5,0,0,1
202, X1,2016,18498,Semi-Auto,25994,1,145,55.4,2.0,0,0,1
203, X5,2015,27998,Automatic,24188,1,200,47.1,3.0,1,0,0
204, X5,2015,21498,Automatic,59216,1,200,47.9,3.0,1,0,0
205, 1 Series,2017,19498,Manual,21171,2,260,36.2,3.0,0,1,0
206, 1 Series,2017,14498,Manual,24259,2,145,52.3,1.5,0,1,0
207, 5 Series,2017,22998,Semi-Auto,19379,1,145,65.7,2.0,0,0,1
208, 1 Series,2017,14498,Manual,20790,1,145,70.6,1.5,0,1,0
209, 5 Series,2019,29898,Semi-Auto,2743,1,145,60.1,2.0,0,0,1
210, 3 Series,2019,22998,Semi-Auto,6000,2,145,48.7,2.0,0,0,1
211, 3 Series,2019,29998,Manual,3980,1,145,53.3,2.0,0,1,0
212, 4 Series,2019,29898,Semi-Auto,101,1,145,60.1,2.0,0,0,1
213, 5 Series,2017,20498,Semi-Auto,12725,1,145,68.9,2.0,0,0,1
214, 3 Series,2019,27650,Semi-Auto,18200,1,150,48.7,2.0,0,0,1
215, Z4,2016,18650,Semi-Auto,25300,2,205,41.5,2.0,0,0,1
216, 4 Series,2018,22995,Automatic,7200,2,145,48.7,2.0,1,0,0
217, X6,2018,36995,Semi-Auto,6100,1,145,47.1,3.0,0,0,1
218, 5 Series,2018,26995,Automatic,6800,1,145,68.9,2.0,1,0,0
219, 1 Series,2013,11995,Manual,31600,1,125,57.6,2.0,0,1,0
220, 5 Series,2018,25995,Semi-Auto,8700,1,145,49.6,2.0,0,0,1
221, X6,2016,29995,Automatic,43600,1,200,44.8,3.0,1,0,0
222, 3 Series,2018,21495,Semi-Auto,16452,2,150,48.7,2.0,0,0,1
223, 5 Series,2017,22998,Automatic,15838,1,145,60.1,2.0,1,0,0
224, 5 Series,2019,34498,Automatic,6775,1,145,51.4,3.0,1,0,0
225, 1 Series,2019,18498,Semi-Auto,11234,1,145,68.9,2.0,0,0,1
226, 7 Series,2019,45898,Semi-Auto,5893,1,145,44.1,3.0,0,0,1
227, X3,2019,37898,Semi-Auto,9781,1,145,48.7,3.0,0,0,1
228, X5,2016,34498,Automatic,17303,3,0,85.6,2.0,1,0,0
229, 1 Series,2016,17998,Manual,25334,2,300,35.3,3.0,0,1,0
230, 3 Series,2016,18498,Semi-Auto,36501,1,145,53.3,3.0,0,0,1
231, 2 Series,2019,23998,Semi-Auto,2318,2,145,47.9,2.0,0,0,1
232, X1,2017,21498,Semi-Auto,14418,1,145,55.4,2.0,0,0,1
233, X1,2017,18500,Semi-Auto,12160,1,145,65.7,2.0,0,0,1
234, X3,2018,31000,Semi-Auto,20290,1,145,48.7,3.0,0,0,1
235, X1,2016,19500,Semi-Auto,13690,1,125,57.6,2.0,0,0,1
236, X5,2017,34000,Automatic,22158,1,205,47.1,3.0,1,0,0
237, X5,2015,28000,Automatic,36174,1,205,47.1,3.0,1,0,0
238, 3 Series,2018,22000,Semi-Auto,30000,1,150,53.3,3.0,0,0,1
239, 1 Series,2016,16000,Manual,40125,2,305,35.3,3.0,0,1,0
240, 3 Series,2017,18000,Manual,20087,2,165,44.8,2.0,0,1,0
241, X7,2020,78000,Semi-Auto,5000,1,150,31.4,3.0,0,0,1
242, 3 Series,2018,22500,Semi-Auto,11150,2,145,48.7,2.0,0,0,1
243, 1 Series,2018,15500,Manual,5827,2,145,37.7,1.5,0,1,0
244, 4 Series,2019,29000,Semi-Auto,14000,1,145,50.4,3.0,0,0,1
245, 4 Series,2019,24700,Semi-Auto,5196,1,145,65.7,2.0,0,0,1
246, 2 Series,2019,24000,Semi-Auto,2500,2,145,39.2,1.5,0,0,1
247, 1 Series,2018,16000,Manual,7000,1,145,50.4,1.5,0,1,0
